notification,category,frequency
new_user,other,never
new_teacher_registration,other,never
new_discussion_entry,discussion_entry,never
merge_email_communication_channel,registration,never
assignment_submitted,all_submissions,never
assignment_resubmitted,all_submissions,never
new_teacher_registration_immediate,other,never
report_generated,other,never
report_generation_failed,other,never
account_user_registration,registration,never
account_user_notification,registration,never
pseudonym_registration,registration,never
conversation_message,conversation_message,never
added_to_conversation,added_to_conversation,never
alert,alert,never
assignment_unmuted,grading,never
appointment_canceled_by_user,student_appointment_signups,never
appointment_deleted_for_user,appointment_cancelations,never
appointment_group_deleted,appointment_cancelations,never
appointment_group_published,appointment_availability,never
appointment_group_updated,appointment_availability,never
appointment_reserved_by_user,student_appointment_signups,never
appointment_reserved_for_user,appointment_signups,never
new_file_added,files,never
new_files_added,files,never
assignment_due_date_override_changed,due_date,never
canvasnet_migration,registration,never
course_started,registration,never
course_starts_in_week,registration,never
course_required_materials,registration,never
course_already_started,registration,never
migration_export_ready,migration,never
self_enrollment_registration,registration,never
submission_needs_grading,all_submissions,never
peer_review_invitation,invitation,never
announcement_created_by_you,announcement_created_by_you,never
twd_migration_new,registration,never
twd_migration_existing,registration,never
twd_migration_new_late,registration,never
twd_migration_existing_late,registration,never
migration_import_finished,migration,never
migration_import_failed,migration,never
announcement_reply,announcement_created_by_you,never
conversation_created,conversation_created,never
content_export_finished,migration,never
content_export_failed,migration,never
confirm_sms_communication_channel,,never
